id,loan_amnt,home_ownership,annual_inc,dti,int_rate,tax_liens,credit_age,age,loan_status
0,5000.0,RENT,67000.0,3.21,0.1905,0,8844,UNDER_FORTY,0
1,7200.0,MORTGAGE,37500.0,25.5,0.1727,0,5404,UNDER_FORTY,1
2,3000.0,RENT,79000.0,6.82,0.2149,0,7535,UNDER_FORTY,0
3,14400.0,RENT,50000.0,7.56,0.1531,0,5465,OVER_FORTY,1
4,13000.0,MORTGAGE,101500.0,4.73,0.1433,0,11827,UNDER_FORTY,0
5,6375.0,MORTGAGE,43000.0,23.25,0.1433,0,8418,UNDER_FORTY,0
6,7000.0,RENT,135000.0,20.52,0.1629,0,8510,UNDER_FORTY,0
7,5500.0,OWN,27000.0,10.49,0.158,0,5253,UNDER_FORTY,0
8,30000.0,RENT,90000.0,27.08,0.1531,0,8387,OVER_FORTY,0
9,6400.0,RENT,85000.0,20.2,0.1212,0,5435,UNDER_FORTY,0
10,12000.0,RENT,40000.0,13.68,0.1531,0,8053,UNDER_FORTY,1
11,10000.0,RENT,32640.0,20.92,0.1433,0,9392,UNDER_FORTY,0
12,12000.0,MORTGAGE,35000.0,9.09,0.1727,0,5465,UNDER_FORTY,0
13,9600.0,RENT,32000.0,16.05,0.158,0,6105,UNDER_FORTY,0
14,3600.0,RENT,62400.0,17.78,0.1531,0,6653,UNDER_FORTY,1
15,4000.0,RENT,60000.0,27.68,0.1433,0,5253,UNDER_FORTY,0
16,15000.0,MORTGAGE,65000.0,10.25,0.1433,0,7627,UNDER_FORTY,0
17,10000.0,RENT,101000.0,23.38,0.1531,0,12558,UNDER_FORTY,0
18,5000.0,RENT,57000.0,13.6,0.1531,0,9392,UNDER_FORTY,0
19,8000.0,MORTGAGE,40000.0,9.84,0.1849,0,5070,UNDER_FORTY,0
20,5000.0,RENT,35000.0,10.05,0.1875,0,5983,UNDER_FORTY,0
21,20000.0,RENT,52000.0,30.74,0.1433,0,8084,UNDER_FORTY,0
22,9750.0,MORTGAGE,30000.0,27.64,0.1433,0,5253,UNDER_FORTY,0
23,5500.0,MORTGAGE,30000.0,11.4,0.1777,0,5192,UNDER_FORTY,0
24,11225.0,RENT,42000.0,26.07,0.1727,0,9271,OVER_FORTY,1
25,5000.0,RENT,40000.0,12.96,0.1433,0,7535,UNDER_FORTY,0
26,4000.0,MORTGAGE,53560.0,9.86,0.1972,0,5009,UNDER_FORTY,0
27,8000.0,RENT,34200.0,11.93,0.1629,0,6043,UNDER_FORTY,1
28,13000.0,RENT,48000.0,28.23,0.158,0,6258,UNDER_FORTY,1
29,9750.0,RENT,30000.0,12.62,0.1777,0,4522,UNDER_FORTY,0
30,3600.0,RENT,54600.0,11.1,0.1433,0,3974,UNDER_FORTY,1
31,9600.0,MORTGAGE,78000.0,9.25,0.1433,0,7810,UNDER_FORTY,0
32,6000.0,MORTGAGE,55000.0,18.41,0.1905,0,6804,UNDER_FORTY,0
33,6025.0,MORTGAGE,42000.0,26.2,0.1433,0,6014,UNDER_FORTY,0
34,4500.0,RENT,59160.0,16.43,0.1727,0,10883,UNDER_FORTY,0
35,16000.0,RENT,80000.0,24.62,0.1849,0,7322,UNDER_FORTY,1
36,5000.0,MORTGAGE,138000.0,24.52,0.1849,0,9667,UNDER_FORTY,0
37,9500.0,MORTGAGE,37585.0,34.76,0.1433,0,13563,OVER_FORTY,0
38,12575.0,MORTGAGE,80000.0,24.56,0.1433,0,7900,UNDER_FORTY,1
39,12325.0,MORTGAGE,45688.0,29.39,0.1433,0,6988,UNDER_FORTY,0
40,4000.0,RENT,36000.0,6.37,0.1875,0,5861,UNDER_FORTY,0
41,5400.0,MORTGAGE,57782.0,9.55,0.1629,0,7200,OVER_FORTY,0
42,12000.0,RENT,60000.0,18.58,0.1531,0,5312,UNDER_FORTY,0
