id,loan_amnt,home_ownership,annual_inc,dti,int_rate,tax_liens,credit_age,age,loan_status,probability,score
95151,16000.0,OWN,50000.0,31.38,0.1311,0,12528,OVER_FORTY,0,0.5653798314666357,0
69796,10000.0,MORTGAGE,73000.0,18.12,0.1368,5,7263,UNDER_FORTY,0,0.4954666748464189,0
99186,12000.0,MORTGAGE,55000.0,19.11,0.1777,0,8114,UNDER_FORTY,1,0.6143499283705499,0
101555,1200.0,RENT,37500.0,2.75,0.1777,0,5618,UNDER_FORTY,0,0.5713558648656638,0
109722,35000.0,RENT,125000.0,19.66,0.1629,0,10124,UNDER_FORTY,1,0.5430071546692612,0
91648,2500.0,RENT,39422.0,7.46,0.1433,0,12893,UNDER_FORTY,0,0.5342648356871039,0
80560,6325.0,MORTGAGE,46072.0,16.96,0.0971,0,7841,UNDER_FORTY,1,0.3995139223544213,0
76250,22000.0,RENT,50000.0,11.06,0.1678,0,10975,UNDER_FORTY,0,0.6260717926893249,1
73083,8575.0,RENT,45379.0,9.41,0.1155,0,6014,UNDER_FORTY,0,0.4654653421301067,0
110351,20000.0,MORTGAGE,130000.0,12.6,0.21,0,7628,OVER_FORTY,0,0.5722407140778321,0
109372,6400.0,RENT,100345.0,15.82,0.1212,0,6227,UNDER_FORTY,0,0.3994329864482677,0
90586,8400.0,MORTGAGE,64800.0,15.76,0.1016,0,8114,UNDER_FORTY,0,0.3803518405275174,0
102021,35000.0,MORTGAGE,128000.0,10.92,0.1777,0,9759,UNDER_FORTY,0,0.525434843921622,0
72805,2000.0,RENT,54000.0,7.86,0.1064,0,6196,UNDER_FORTY,0,0.3761424065843517,0
87178,6300.0,RENT,32000.0,16.73,0.1727,0,6926,UNDER_FORTY,0,0.660472264721989,1
111354,6675.0,OWN,75000.0,9.02,0.1311,0,7841,UNDER_FORTY,0,0.4251225897149808,0
91381,5600.0,MORTGAGE,40000.0,16.02,0.1114,0,7719,UNDER_FORTY,0,0.4563803181202527,0
98728,15000.0,MORTGAGE,45000.0,14.16,0.1311,0,5284,UNDER_FORTY,0,0.5139007181068402,0
101494,30000.0,MORTGAGE,225000.0,20.2,0.2198,0,9271,UNDER_FORTY,1,0.5601900842263944,0
71332,7125.0,MORTGAGE,40000.0,22.98,0.1756,0,8571,OVER_FORTY,0,0.6433485641493895,1
72101,4800.0,MORTGAGE,48000.0,32.07,0.1522,0,6411,UNDER_FORTY,0,0.5810921898826243,0
98585,9175.0,RENT,31000.0,27.64,0.1849,0,9483,UNDER_FORTY,1,0.7242097324113683,1
76937,8000.0,MORTGAGE,105104.76,33.69,0.1368,0,10366,OVER_FORTY,0,0.4767541262180364,0
88852,12000.0,MORTGAGE,83000.0,16.7,0.1212,0,15572,UNDER_FORTY,0,0.4342214168183519,0
108994,10000.0,RENT,29000.0,24.43,0.158,0,4645,UNDER_FORTY,0,0.6648167700601262,1
90006,8000.0,RENT,42100.0,19.47,0.1433,0,5192,UNDER_FORTY,0,0.573259893297879,0
81100,24000.0,RENT,133000.0,8.22,0.1311,0,5041,UNDER_FORTY,0,0.4042562719683071,0
69249,8000.0,MORTGAGE,30000.0,26.52,0.1235,0,7202,UNDER_FORTY,0,0.5632305271900135,0
71082,21000.0,MORTGAGE,105000.0,20.72,0.1885,0,7475,UNDER_FORTY,1,0.5789087833861829,0
70732,10625.0,RENT,37000.0,23.45,0.1522,0,4522,OVER_FORTY,0,0.6243009961871693,1
94331,11700.0,OWN,57000.0,15.83,0.1311,0,9483,UNDER_FORTY,0,0.4943006798107732,0
86510,24000.0,MORTGAGE,120000.0,33.89,0.1311,0,17763,UNDER_FORTY,0,0.4855173936044352,0
88578,16000.0,RENT,58000.0,24.23,0.1905,0,8997,UNDER_FORTY,0,0.6749903292910152,1
75650,4000.0,RENT,40000.0,23.37,0.1756,0,6380,UNDER_FORTY,0,0.6460688286676369,1
71726,1200.0,RENT,30000.0,12.96,0.2031,0,4919,UNDER_FORTY,0,0.6680576693840812,1
102113,14825.0,MORTGAGE,40000.0,25.11,0.1629,0,11919,OVER_FORTY,0,0.6465422302013146,1
86461,3825.0,MORTGAGE,34320.0,10.91,0.1531,0,8206,UNDER_FORTY,0,0.5643030670508806,0
110858,35000.0,MORTGAGE,131000.0,17.86,0.1212,0,11736,UNDER_FORTY,0,0.4072153502856327,0
72218,20000.0,RENT,195000.0,16.86,0.1678,0,7902,UNDER_FORTY,0,0.4740127289839426,0
103294,2000.0,RENT,7600.0,2.84,0.2247,0,4553,UNDER_FORTY,1,0.8102102016267312,1
94892,14825.0,MORTGAGE,75000.0,12.38,0.1849,0,6745,UNDER_FORTY,1,0.5777632592679751,0
88709,5000.0,MORTGAGE,65000.0,2.13,0.0603,0,4888,UNDER_FORTY,0,0.1928781035369762,0
98239,3250.0,RENT,20000.0,13.88,0.1531,0,7291,UNDER_FORTY,0,0.6486807706088165,1
89272,15050.0,OWN,54000.0,28.53,0.1905,0,9118,UNDER_FORTY,0,0.6715658858228527,1
112550,21000.0,RENT,92243.0,11.01,0.1114,0,6014,UNDER_FORTY,0,0.398075256979267,0
108567,6625.0,MORTGAGE,34640.0,20.92,0.1114,0,9363,OVER_FORTY,0,0.4947846839035971,0
97538,15000.0,MORTGAGE,65000.0,14.38,0.1016,0,7141,OVER_FORTY,0,0.3889296171577096,0
75568,3625.0,RENT,32000.0,20.36,0.1433,0,4127,UNDER_FORTY,0,0.5827621580471405,0
98288,6000.0,MORTGAGE,44000.0,4.75,0.1114,0,8053,UNDER_FORTY,0,0.4175648165860273,0
88360,3000.0,RENT,18000.0,15.27,0.21,0,4035,UNDER_FORTY,0,0.7509631078423883,1
84605,10000.0,RENT,32000.0,19.01,0.1727,0,7353,OVER_FORTY,0,0.6778883647641718,1
102724,4800.0,RENT,33000.0,19.45,0.1629,0,8084,UNDER_FORTY,0,0.6400879003513802,1
81383,5800.0,MORTGAGE,66000.0,28.62,0.1212,0,9789,OVER_FORTY,0,0.4657802282604479,0
99620,18000.0,MORTGAGE,76800.0,14.41,0.1311,0,7141,UNDER_FORTY,0,0.4613469446931391,0
109453,7200.0,MORTGAGE,34000.0,27.49,0.1905,0,8359,UNDER_FORTY,0,0.6982822407755281,1
80872,10000.0,MORTGAGE,69000.0,33.36,0.158,0,6349,UNDER_FORTY,0,0.5746850454878074,0
109920,3000.0,OWN,52000.0,20.22,0.1875,0,6988,UNDER_FORTY,0,0.6050128422081055,0
91456,2500.0,MORTGAGE,60000.0,11.82,0.1905,0,17033,OVER_FORTY,0,0.5832694263385516,0
102792,5000.0,RENT,39200.0,11.08,0.1905,0,11585,UNDER_FORTY,0,0.6610627756526712,1
111291,20400.0,MORTGAGE,75000.0,28.16,0.1114,0,7597,UNDER_FORTY,0,0.4489646285171774,0
110943,15000.0,MORTGAGE,103000.0,14.25,0.1114,0,7171,OVER_FORTY,0,0.3670594602073411,0
104496,24000.0,MORTGAGE,100000.0,13.93,0.089,0,8844,UNDER_FORTY,1,0.3149503255752804,0
103845,10000.0,RENT,75000.0,15.77,0.1114,0,5618,UNDER_FORTY,0,0.4140245333375278,0
80650,23000.0,MORTGAGE,330000.0,3.13,0.1114,0,11493,UNDER_FORTY,1,0.2421630479727307,0
94877,12000.0,MORTGAGE,75000.0,23.49,0.1114,0,9180,OVER_FORTY,0,0.4258521162256868,0
76918,5500.0,MORTGAGE,19100.0,24.13,0.1825,0,4980,UNDER_FORTY,0,0.7202097696990183,1
83899,6000.0,MORTGAGE,42000.0,8.37,0.1409,0,7353,OVER_FORTY,0,0.5136272252394475,0
86976,5000.0,MORTGAGE,50000.0,4.39,0.1433,0,20075,UNDER_FORTY,0,0.5015131108518925,0
78885,10000.0,OWN,53278.0,22.66,0.1588,0,8814,UNDER_FORTY,0,0.5839115156425018,0
93591,14000.0,OWN,55000.0,20.27,0.1433,0,7657,OVER_FORTY,0,0.5433404162456762,0
101565,14000.0,OWN,115000.0,11.37,0.1212,0,10641,OVER_FORTY,0,0.3800310790939677,0
109287,14000.0,MORTGAGE,83000.0,20.59,0.1114,0,14933,OVER_FORTY,0,0.4190285884832534,0
94604,3500.0,RENT,44000.0,34.09,0.158,0,7933,OVER_FORTY,0,0.626713099585236,1
94966,7500.0,MORTGAGE,300000.0,11.1,0.1016,0,9940,UNDER_FORTY,0,0.2198572339367935,0
106067,6750.0,MORTGAGE,53000.0,14.15,0.079,0,6502,UNDER_FORTY,0,0.3119016345276187,0
99410,1875.0,OWN,15264.0,27.59,0.1311,0,7414,UNDER_FORTY,0,0.6270023423285209,1
68178,8000.0,OWN,86000.0,6.82,0.2031,0,11554,UNDER_FORTY,1,0.575654918699526,0
76165,12000.0,OWN,60000.0,17.4,0.1064,0,8206,OVER_FORTY,0,0.4180512011733228,0
95926,6575.0,MORTGAGE,60000.0,18.4,0.079,0,12224,OVER_FORTY,1,0.3184686917364583,0
105698,28000.0,MORTGAGE,122738.0,19.07,0.079,0,9455,OVER_FORTY,0,0.2772417484741878,0
76683,6000.0,MORTGAGE,100000.0,14.5,0.1678,0,8084,UNDER_FORTY,0,0.4925767786820584,0
86283,12000.0,RENT,38000.0,27.57,0.1849,0,7383,UNDER_FORTY,1,0.7064381417935711,1
77032,6000.0,MORTGAGE,75000.0,9.23,0.1885,0,8053,UNDER_FORTY,1,0.5559277301389375,0
98621,6000.0,RENT,55000.0,20.25,0.1875,0,5011,UNDER_FORTY,0,0.6320210399520833,1
98245,22100.0,MORTGAGE,49918.0,26.73,0.1114,0,15937,UNDER_FORTY,0,0.5090265852003766,0
107919,18550.0,RENT,42000.0,30.88,0.158,0,5527,UNDER_FORTY,0,0.658696836225919,1
106727,17500.0,RENT,110000.0,7.93,0.089,0,8328,UNDER_FORTY,0,0.3025496396492246,0
74452,25000.0,MORTGAGE,102000.0,17.55,0.1064,0,13135,OVER_FORTY,0,0.3848159538841982,0
83699,9500.0,RENT,28080.0,28.93,0.1727,0,6014,UNDER_FORTY,0,0.7097980470580886,1
106978,7500.0,RENT,66000.0,3.38,0.1114,0,7202,OVER_FORTY,0,0.3931110576501501,0
101960,11100.0,MORTGAGE,32000.0,28.28,0.1409,0,5861,UNDER_FORTY,0,0.6107750256497142,0
71822,6350.0,RENT,23000.0,30.47,0.2031,0,13411,UNDER_FORTY,0,0.7804750451022565,1
91168,10500.0,RENT,50000.0,5.06,0.1433,0,5741,UNDER_FORTY,0,0.5231069379415763,0
106912,10000.0,OWN,37000.0,20.76,0.1212,0,9394,UNDER_FORTY,0,0.5270453805610593,0
94021,5000.0,RENT,18009.0,16.99,0.1972,0,4400,UNDER_FORTY,0,0.7475556038477055,1
80126,7500.0,RENT,66000.0,5.44,0.0762,0,8084,UNDER_FORTY,0,0.2847410127250394,0
101908,8000.0,MORTGAGE,88000.0,9.91,0.1212,0,5680,OVER_FORTY,0,0.3814325238857063,0
