id,loan_amnt,home_ownership,annual_inc,dti,int_rate,tax_liens,credit_age,age,loan_status,probability,prediction
78450,7350,RENT,44000.0,19.77,0.1305,0,7475,UNDER_FORTY,0,0.54012179897479,0
106339,18225,MORTGAGE,42000.0,17.94,0.1777,0,5315,UNDER_FORTY,1,0.6445766054678792,1
106866,15500,RENT,80000.0,14.76,0.0603,0,5830,UNDER_FORTY,0,0.23726546132061996,0
107802,12000,RENT,53000.0,13.9,0.1531,0,12770,OVER_FORTY,0,0.5816921197539114,0
77041,12000,MORTGAGE,80000.0,18.92,0.1756,0,10124,OVER_FORTY,0,0.5703498745657823,0
77260,18000,RENT,53000.0,12.66,0.1064,0,14902,UNDER_FORTY,1,0.4636796767729871,0
81759,4000,MORTGAGE,105000.0,27.54,0.1849,0,9910,OVER_FORTY,0,0.5514152003328097,0
104305,4000,RENT,25000.0,20.11,0.2049,0,8053,UNDER_FORTY,0,0.7393872454948447,1
76263,15050,MORTGAGE,42000.0,19.09,0.1235,0,9848,OVER_FORTY,0,0.5258175418108691,0
85419,13000,RENT,72000.0,15.97,0.1311,0,6227,UNDER_FORTY,0,0.4847464068615053,0
89778,8000,RENT,74000.0,14.29,0.1016,0,10244,OVER_FORTY,0,0.3858829904716516,0
81896,15000,RENT,78000.0,22.22,0.1212,0,9910,UNDER_FORTY,0,0.4767792092590213,0
107731,11875,RENT,35000.0,17.59,0.1409,0,5922,UNDER_FORTY,0,0.5963309088059954,0
77770,12000,OWN,65000.0,16.71,0.1155,0,6926,UNDER_FORTY,1,0.43176402251827795,0
96830,3500,RENT,114000.0,29.69,0.21,0,7902,UNDER_FORTY,0,0.6099000305246794,0
105983,6250,MORTGAGE,30402.0,3.2,0.1531,0,9545,UNDER_FORTY,0,0.573441062636111,0
111951,18000,MORTGAGE,60000.0,14.84,0.1114,0,4919,UNDER_FORTY,0,0.428283866695833,0
95035,4000,OWN,50000.0,18.82,0.1433,0,8084,OVER_FORTY,0,0.5183047701263218,0
93060,11000,RENT,40000.0,25.2,0.1849,0,7749,UNDER_FORTY,0,0.6946753146995267,1
87355,1800,MORTGAGE,70000.0,14.79,0.1727,0,11674,UNDER_FORTY,0,0.521045428965908,0
107191,14000,RENT,43000.0,34.49,0.1311,0,6745,UNDER_FORTY,0,0.5987686012549719,0
85579,11100,RENT,33000.0,22.95,0.1727,0,7232,UNDER_FORTY,1,0.6861867655735931,1
97373,7000,MORTGAGE,75192.0,19.79,0.1409,0,8022,UNDER_FORTY,0,0.48110660312203934,0
