id,loan_amnt,home_ownership,annual_inc,dti,int_rate,tax_liens,credit_age,age,loan_status,probability,score
66301,5000.0,RENT,60000.0,8.1,0.1235,0,6656,UNDER_FORTY,0,0.43978524836126964,0
66441,8875.0,MORTGAGE,75000.0,4.93,0.1885,0,4494,OVER_FORTY,0,0.5441736295748624,0
66500,9000.0,MORTGAGE,52000.0,26.98,0.1155,0,7507,UNDER_FORTY,0,0.4797000258659078,0
66554,3600.0,RENT,93669.0,17.44,0.216,0,7933,UNDER_FORTY,0,0.6117016742554938,0
66569,12000.0,RENT,84000.0,17.41,0.1064,0,5649,UNDER_FORTY,0,0.3947749793537664,0
66651,12500.0,MORTGAGE,62000.0,24.83,0.1235,0,6472,UNDER_FORTY,0,0.48248286226264087,0
66764,6350.0,OWN,23000.0,34.8,0.1885,0,7355,OVER_FORTY,0,0.7438809073115054,1
66806,7000.0,RENT,40000.0,21.78,0.1155,0,7110,OVER_FORTY,0,0.5117842653968488,0
66875,8875.0,MORTGAGE,55000.0,12.94,0.1064,0,8724,UNDER_FORTY,0,0.40955952100225684,0
67156,10000.0,RENT,55000.0,14.09,0.1755999999999999,0,8999,UNDER_FORTY,0,0.6158556556443792,0
67165,12000.0,MORTGAGE,130000.0,6.02,0.0971,0,6898,OVER_FORTY,0,0.2764958720603188,0
67167,9600.0,MORTGAGE,42000.0,13.76,0.1155,0,6015,UNDER_FORTY,0,0.46682840678510046,0
67199,12000.0,MORTGAGE,55000.0,9.75,0.0662,0,7355,UNDER_FORTY,0,0.26464157488852313,0
67242,31500.0,OWN,150000.0,8.9,0.1522,0,8816,UNDER_FORTY,0,0.43935003323210625,0
67320,10000.0,MORTGAGE,110000.0,5.61,0.1235,0,14112,UNDER_FORTY,0,0.3728505464625526,0
67332,11950.0,RENT,49900.0,6.3,0.1235,0,5711,UNDER_FORTY,0,0.4770872341121486,0
67367,12000.0,MORTGAGE,70000.0,25.65,0.1825,0,6015,UNDER_FORTY,0,0.6083601172290185,0
67388,6000.0,MORTGAGE,80000.0,5.46,0.0971,0,6138,OVER_FORTY,0,0.3058991398057059,0
67425,9900.0,RENT,48000.0,12.72,0.1522,0,6898,OVER_FORTY,0,0.5719954971482494,0
